MENU_ITEM_NAME,SUB_ITEM_QUANTITY
With A Lime,22.00
42,20.00
ADD ONION,20.00
Blueberry,20.00
Extra Cheddar Cheese,20.00
Extra Shrimp,20.00
Juiced,20.00
Lemon Pepper,20.00
Light Seasoning,20.00
MULE,20.00
Mix Together,20.00
No Cilantro*,20.00
No Ranch Or BC,20.00
No Vinegar,20.00
OLD FASHION,20.00
Pepper Jack Cheese,21.00
Pint,20.00
STRAWBERRY,20.00
Spritz,20.00
Surfside Iced Tea & Vodka can,20.00
TOOO GOOOOOOO,20.00
Texas Marg,20.00
To Goooo,20.00
Wrap,20.00
Add Red Onions(Pizza)*,19.00
Add Swiss Cheese 1 slc*,20.00
Add Tomatoes,19.00
Cajun Fries,19.00
Extra Sauce,19.00
Extra Sour Cream,18.00
Fried,19.00
Green Olives,19.00
Linda,19.00
No Fries,19.00
No Ice Cream,19.00
No Nashville Hot Seasoning,19.00
Plastic,27.00
Shredded Cheddar Jack Cheese*,19.00
Side Fries,19.00
Side of Teriyaki,19.00
Splash Of Coke,19.00
Sub Grilled,19.00
Substitute Impossible Patty,19.00
TAJIN RIM,19.00
To Go!!!!!,19.00
W Glass,19.00
3 Spoons,18.00
Add Fresh Mushrooms 1 2cup,18.00
Add Grilled Shrimp,18.00
All Drums,18.00
Dragonfruit,18.00
Extra Dressing On Side,18.00
Extra Pepperoni,18.00
Kentucky Mule,18.00
Mix Sauces Together,18.00
No Bourbon Maple Butter Sauce*,18.00
No Lime,18.00
Over Easy (1),18.00
Salt And Lime,21.00
Screwdriver,18.00
Sd Ranch,18.00
Splash Of Sprite,22.00
Sub Chips For Fries,18.00
Susan,18.00
Toss Fries Lemon Pep,18.00
Toss In Buffalo,18.00
AS A WRAP,17.00
Add Cajun,17.00
Add Honey Mustard,16.00
Add Mushrooms,17.00
Add Shredded Cheddar Jack Cheese 2oz*,17.00
Cold Glasd,17.00
Cold Glass Please,17.00
Cranberry Flavor,17.00
Crispy Tots,17.00
DO NOT MAKE,17.00
Dirty,17.00
Extra Jalapenos,17.00
Fries Crispy,17.00
LOADED FRIES,17.00
Michelada,17.00
No Oil,17.00
No Pretzel Salt*,17.00
Passion Fruit,17.00
Shredded Cheddar Jack Cheese On The Side*,17.00
Substitute Balsamic Vinaigrette,17.00
Sugar,17.00
TALL GLASS,17.00
With Wings,17.00
Add Lemon Wedge,16.00
Add Pepperoni,16.00
Add Shredded Cheddar Jack Cheese,16.00
Add Steak Taco*,16.00
As App,14.50
Everything Season,16.00
Green,16.00
Hot Wing Sauce TOSS,16.00
Just Cheese,16.00
LOADED TOTS,16.00
Make It Big,16.00
NO BACON,16.00
No Ketchup,16.00
No Pulled Pork,18.00
No Pulled Pork*,16.00
No Sazon Seasoning*,15.00
Pineapple Flavor,16.00
Raspberry,16.00
SUB SWEET POTATO FRIES,16.00
SUGAR RIM,16.00
Side Buffalo,16.00
Side Of Honey Mustard,16.00
Strawberry Marg,16.00
Strawberry Mule,16.00
TO GOOOO,16.00
2 Glasses,12.00
Add Buffalo Sauce,15.00
Add Burger Patty*,15.00
Add Guava,15.00
Add Japs,15.00
Add Lime Wedge,15.00
Add Sour Cream*,15.00
Add Spicy Mayo,15.00
Cold,15.00
Extra Dirty Martini,16.00
Garden Mule,15.00
Hazy On Ponce,15.00
In A Wrap,15.00
Karen,15.00
Large Rock,15.00
MAKE AS WRAP,15.00
No Butter,15.00
No Cowboy Sauce,15.00
No Salt On Tots,15.00
No Shredded Pepper Jack Cheese*,15.00
No Utah Sauce*,15.00
Old Fas,18.00
On Ice,15.00
Pickleback,15.00
Ranch On The Side,15.00
SD MUST,14.00
SUB FRIED CHICKEN,15.00
Side Mayo,15.00
Side Of Guac,15.00
Spicy Mayo On Side,15.00
Strawberry Lemonade,15.00
Sweet Tea,15.00
TOOOO GOOOO,15.00
Tequila Sunrise,15.00
W A Lime,15.00
44,14.00
Add Brisket 4oz,14.00
Add Grilled Chx,14.00
Add Lemon Pep To Wings,14.00
All Flats If You Can,14.00
Big Ice Cube,14.00
Black And Tan,14.00
Black Cherry,14.00
Buffalo Lemon Pepper,13.00
Coke Back,14.00
Cran,14.00
Cut Burger In Half,12.00
Cut In Half Please,14.00
Draft,14.00
For Lynn,14.00
GREEN TEA,20.00
Garlic Parmesan Sauce TOSS,14.00
Honey,14.00
LOTS OF ICE,14.00
MANGO,14.00
NOMAKE,19.00
No Chicken,14.00
No Chips And Salsa Sub Fries,14.00
No Ham,14.00
No Lime Wedge*,14.00
No Vine-Ripened Tomato Sauce*,14.00
SD MUST AND MAYO,14.00
SKINNY MARG,14.00
Side of Hot Wing Sauce,13.00
"Soda, Lime",14.00
Sub Brussel Sprouts,14.00
Sub Caesar Dressing NC,14.00
Teriyaki Sauce,14.00
Texas,14.00
Toss Fries In Lemon Pepper,14.00
2 Dog Soda Combo,13.00
3 Limes,13.00
ADD CHICKEN,11.00
Add Cheddar,13.00
Add Cotija Cheese*,13.00
Add Lemon Wedge*,13.00
Add Mushroom,13.00
Add Peach Puree,13.00
Add Red Peppers,13.00
Add Sausage,13.00
Add Shredded Parmesan 2Tb,13.00
Add Sliced Tomatoes (Pizza),13.00
And Spicy Mustard,12.00
Bacon Bits On The Side,12.00
Belvedere Vodka Double,15.00
Blackened Shrimp,13.00
Bomb,13.00
Buttermilk Ranch 3oz,13.00
Chicken And Cheese Only,13.00
Cilantro Mix,14.00
Cold Goass,13.00
Don't Make,7.00
Dressing On The Side,13.00
Extra Bacon Slices,13.00
Extra Crispy Bacon,13.00
Extra Extra Crispy,13.00
Extra Ice,13.00
Extra Mayonnaise,13.00
Extra Pickle Chips,13.00
Extra Sirloin Steak Pieces,13.00
Fire,13.00
Fries Xtra Crispy,13.00
Garlic Fries,13.00
Grill,13.00
Half Guiness,13.00
LIGHT ICE,13.00
NOT SMOKED,13.00
"Neat, Not Chilled",13.00
No Butter On Bun,13.00
No Green Peppers,13.00
No Pork Sub Chicken,13.00
No Raspberry,13.00
No Tomato,13.00
Onion On The Side,13.00
Orange,13.00
Roasted Red Pepper On The Side,12.00
SPRINKLE LEM PEP,13.00
Side Of Marinara,13.00
Side Of Sweet Heat,12.00
Side of Mayonnaise*,13.00
Strawberry Margarita,13.00
TOOOO GOOOOOOOO,13.00
Tahin Rim,13.00
Tomato,14.00
Tooo Goooo,13.00
Toss In Boom Boom,13.00
Wet,13.00
1 Dog,12.00
2 Dog + Beer Combo,12.00
Add Bleu Cheese Dressing*,12.00
Add Cod 4oz*,12.00
Add Lime Wedge*,12.00
Add Passion Fruit,12.00
Add Pickled Onion,12.00
Add Pineapple,12.00
Add Queso 1.5oz*,12.00
Bacon Extra Crispy,12.00
Bbq On Side,12.00
Blackened,12.00
Buffalo Sauce on the Side*,12.00
Cherry,13.00
Club Soda,12.00
Cocktail,12.00
Cotija Cheese On The Side,11.00
Creamy,12.00
Extra Cilantro And Onion,12.00
Extra Mayo,12.00
Extra Salsa,12.00
GRILLED,12.00
GUAVA,12.00
Grilled Shrimp,12.00
IN A WRAP,12.00
Mayo On Side,12.00
NO LIME,12.00
NO SLAW,12.00
Negroni,12.00
No Melted Butter,12.00
No Sweet Baby Rays BBQ Sauce,14.00
Not Spicy,12.00
Shredded Cheddar Jack Cheese,12.00
Side Honey Mustard,12.00
Side Of Buffalo Sauce,12.00
Side Of Cajun,12.00
Side Of Pickles,12.00
Side Of Poblano,12.00
Side Queso,12.00
Sunrise,12.00
Sweet Potato,12.00
To Go!!!!!!!!,12.00
Togo Pls,12.00
Toss Fries In Lemon Pep,12.00
4 Spoons,11.00
Add Avocado,11.00
Add Basil,11.00
