MENU_ITEM_NAME,AVERAGE_ITEM_PRICE,ITEM_QUANTITY,ITEM_NET_AMOUNT
Viking,8.00,2.00,16.00
Viking Alcheimist,12.00,2.00,24.00
Vina Robles Cabernet,10.00,2.00,20.00
Virgin Peach Bourbon Smasg,10.00,2.00,20.00
Virgin Strawberry Mojito,3.50,2.00,7.00
Voodoo Juicy,3.00,2.00,6.00
Voodoo Ranger Mini Can,5.00,2.00,10.00
WAFFLE FRIES TOSSED IN RAJIN CAJUN,0.00,2.00,0.00
Warsteiner,7.00,2.00,14.00
Watermelon Lemonade Spritz,11.00,1.00,11.00
Westbrook It’s Tiki Time,,0.00,0.00
Westmalle Half Off,7.50,2.00,15.00
White Caprese,6.00,2.00,12.00
White Caprese Pizza (CAT),15.00,2.00,30.00
White Russian,11.00,2.00,0.00
Whitec,7.00,2.00,14.00
Wicked Weeds Perni Haze,7.00,2.00,14.00
Wicked Weeds Perni-haze,7.00,2.00,14.00
Witches Brew,12.00,2.00,24.00
Wyoming W,12.00,2.00,24.00
Yazoo Dos Peros Lager,3.00,2.00,6.00
Yiengling Flight,0.00,2.00,0.00
Yueng Light,3.00,2.00,6.00
black Widow,8.00,2.00,16.00
$5 Double Juiced,0.00,1.00,0.00
$5 Drink Thats On The Sign Outsode,5.00,1.00,5.00
$5 beer,5.00,1.00,5.00
"(Lunch) Buffalo Wings, Side Fries",10.00,1.00,10.00
"(Lunch) Wings Buffalo, Side Fries",,0.00,0.00
",$5 Tall Can",5.00,1.00,5.00
1 Biscuit,1.50,1.00,0.75
1 Black Chick 2 Fried Mac Bites,6.00,1.00,6.00
1 Brioche Bun - TO GO,0.50,1.00,0.50
1 Bsb Wing,0.00,1.00,0.00
1 Chicken Taco Chicken And Shredded Cheese Only,5.00,1.00,5.00
"1 Cod Taco, No Tomato",6.00,1.00,6.00
1 Grilled Tender-- For Dog No Seasoning,3.00,1.00,1.76
1 Scoop Vanilla Ice Cream,3.00,1.00,2.70
1 Slice Of Cheddar Cheese,0.00,1.00,0.00
1 Steak Taco Flour Tortilla,6.00,1.00,6.00
1 Steak Taco On Corn,0.00,1.00,0.00
1 Tender And Small C,3.50,1.00,3.50
1 Tortilla TO GO,0.50,1.00,0.50
1 Waffle With Syrup,3.00,1.00,3.00
"1/2 Steak Nachos, No Jala",4.00,1.00,4.00
10 Gr Daisys,10.00,1.00,10.00
10 Grilled Shrimp Sznd,0.00,1.00,0.00
10 Onz Hazy Littke,4.00,1.00,4.00
12 Drink Henesey,12.00,1.00,12.00
12 Lemon Drop Shots,100.00,1.00,100.00
13 Raw Pepperonis Togo,0.00,1.00,0.00
150 Wings (CAT),225.00,1.00,225.00
1664 Lager,6.00,2.00,12.00
1\\2 Rmpl,3.00,1.00,3.00
2 Asian Ginger Beef Tacos,0.00,1.00,0.00
2 BRISKET TACOS No Chips N Salsa,0.00,1.00,0.00
2 Beer Glasses,6.00,1.00,6.00
2 Blackened Breasts,8.00,1.00,8.00
2 Blue Cheese Togo,0.00,1.00,0.00
2 Boneless Wings In Asian Chili Crisp,7.00,1.00,7.00
2 Brisket Tacos No Jalapenos,0.00,1.00,0.00
2 Brisket Tacos. JUST TACOS NO CHIPS,0.00,1.00,0.00
2 Buffalo Tenders,5.00,1.00,2.50
2 CHICKEN TACOS DA STREET WAY,0.00,1.00,0.00
"2 Chicken Fingers, Tossed Lemon Pepper",0.00,1.00,0.00
2 Chicken Tenders To Go,7.00,1.00,7.00
2 Corn Tortillas,0.00,1.00,0.00
2 Country Boy Cider Tastes,0.00,1.00,0.00
2 Eggs Scrambled,4.00,1.00,0.00
2 Eggs Scrambled Add Onion Cilantro Tomato And Jalapenos,6.00,1.00,0.00
2 Flour Tortillas Raw,3.00,1.00,3.00
"2 Fried Chicken Strips, Side Ranch",5.00,1.00,5.00
2 Fried Shrimp Tacos,0.00,1.00,0.00
2 Grill Chick To Go,5.00,1.00,5.00
2 Grilled Chicken Tacos,0.00,1.00,0.00
2 Hot Dogs With Fries,10.00,1.00,10.00
2 Hotdogs & Side Fries,12.00,1.00,12.00
2 Lemon Pepper Wings,0.00,1.00,0.00
2 Oz Brown Sugar Bourb,0.50,1.00,0.50
2 Quesos No Spicy Mustard With That Pretzel Sorry!!!,0.00,1.00,0.00
2 Rajun Cajun Wing,0.00,1.00,0.00
2 Rajun Cajun Wings,0.00,1.00,0.00
2 Ranch,0.00,1.00,0.00
2 Scoop Ice Cream W/ Chocolate Syrup,4.00,1.00,4.00
2 Scoops Of Ice Cream No Choc,5.00,1.00,5.00
2 Scoops Of Icecream,5.00,1.00,5.00
2 Sides Of Pickles. Side Of Raw Onion,0.00,1.00,0.00
2 Slices Of Bread Toasted,1.00,1.00,1.00
2 Tacos With Fried Shrimp Coleslaw And Sauce,0.00,1.00,0.00
2 Taste Of Red Sangia,0.00,1.00,0.00
2 Tenders,8.00,1.00,8.00
2 Tenders And Fries,6.00,1.00,6.00
2 Tortillas,2.00,1.00,2.00
2 VEGAS BOMB SHOTS,0.00,1.00,0.00
2 WHITE TEA SHOT,0.00,1.00,0.00
2 Warm Tortillas,0.00,1.00,0.00
2 Wings With Lemon Pepper,2.00,1.00,1.00
200 Wings (CAT),300.00,1.00,300.00
25 Boneless (CAT),40.00,1.00,40.00
2x Twea,10.00,1.00,10.00
3 Bbq On Side,1.50,1.00,1.50
3 Chicken Tacos Flour,0.00,1.00,0.00
3 Chicken Tacos Flour Tortillas,0.00,1.00,0.00
3 Chicken Tacos Flour Tortillas Togo,0.00,1.00,0.00
3 Chicken Tenders,0.00,1.00,0.00
3 Dollar Beer,3.00,1.00,2.40
3 Fried Chicken Tenders,9.00,1.00,9.00
3 Honey Mustard,1.50,1.00,1.50
3 LUCKY SHOTS,12.00,1.00,12.00
3 Lemon Drop Shots,0.00,1.00,0.00
3 Onion Rings,0.00,1.00,0.00
3 Orders Of Blackend Cod,12.00,1.00,0.00
3 Oz Side Thai Chili,0.00,1.00,0.00
3 Potstickers,0.00,1.00,0.00
3 Scrambled Eggs Add Onion Cilantro Tomatoes And Jalapenos,8.50,1.00,0.00
3 Slices Of Watermelon,0.00,1.00,0.00
3 Small Flour Tortillas,0.00,1.00,0.00
3 T Saporous,7.00,1.00,7.00
3 Tav Saporous,7.00,1.00,7.00
3 Tavern Sample,0.00,1.00,0.00
3 Tavers Asylum2 Enchantress,8.00,1.00,8.00
3 Tortillas Love,2.00,1.00,0.00
3 WINGS- 2 BOOM BOOM 1 NASH HOT,0.00,1.00,0.00
3 Warm Flour Tortilla,0.00,1.00,0.00
3 poblano Tacos Flour Tortillas,0.00,1.00,0.00
3%,30.00,1.00,30.00
3eggs Scrambled,8.00,1.00,4.00
3oz Balsamic V,0.00,1.00,0.00
4 Boom Boom Wings,0.00,1.00,0.00
4 Buffalo Wings,0.00,1.00,0.00
4 Chicken Tenders,9.00,1.00,9.00
4 Corn Tortillas Raw,0.00,1.00,0.00
4 FLAT KBBQ WINGS,0.00,1.00,0.00
4 FLATS XTRA CRISPY KBBQ,0.00,1.00,0.00
4 Flat Lemon Pepper Wings,0.00,1.00,0.00
4 Flats,0.00,1.00,0.00
4 Flour Tortilla To Go,0.00,1.00,0.00
4 Flour Tortillas,2.00,1.00,2.00
4 Hot Wings,8.00,1.00,0.00
4 Pieces Of Bread,,0.00,0.00
4 Tortilla Plz,1.00,1.00,0.00
4 Traditional BSB Dry Rub,0.00,1.00,0.00
420,7.00,1.00,7.00
450 North Slushy XL Mmm Dounts,11.00,1.00,11.00
4pc wings ALL FLATS BUFFALO WITH LEMON PEPPER SPRINKLE,4.00,1.00,0.00
5 BSB Wings,8.00,1.00,8.00
5 Beer Alligator,5.00,1.00,5.00
5 Boom Boom Shrimp,5.00,1.00,5.00
5 Chicken Wings,8.00,1.00,2.40
5 LEMON PEPPER HOT WINGS,0.00,1.00,0.00
5 Lemon Pepper Wings,0.00,1.00,0.00
5 Lhpb,5.00,1.00,2.50
5 Teriyaki Wings,0.00,1.00,0.00
5 White Tea Shots,0.00,1.00,0.00
50 Green Tea Shots,50.00,1.00,0.00
512 13th Anniversary Ale,,0.00,0.00
5lemon Pepper,7.00,1.00,7.00
6 Brid,7.00,1.00,7.00
6 Bridges Contin,7.00,1.00,7.00
6 Bridges Continuum,0.00,1.00,0.00
6 Bridges Taste,0.00,1.00,0.00
6 Wings Trad Lemon Pepp,,0.00,0.00
6bridgees,14.00,1.00,14.00
7 Ragin Cajun Wings,0.00,1.00,0.00
7705794644,0.00,1.00,0.00
8 Chicken Sliders,25.00,1.00,25.00
8 Fried Shrimp,8.00,1.00,8.00
8 Oz Hefeweissbier,4.50,1.00,4.50
8 Pack Senorita,30.00,1.00,30.00
8 Wings Sweet Baby Rays,0.00,1.00,0.00
80 Cocktail,8.00,1.00,4.68
90's Throwback Party,8.00,1.00,8.00
90s Throwback,8.00,1.00,8.00
99 Experiment,3.00,1.00,3.00
99X Beer,6.00,1.00,6.00
99x Beer,6.00,2.00,12.00
ALL THIS FOOD IS TO GOOOOO,0.00,1.00,0.00
ALL TO GO,0.00,1.00,0.00
ALL TO GO! BAG SEPERATE!,0.00,1.00,0.00
ALL TO GOOOOO,0.00,1.00,0.00
ALL TOGO,0.00,1.00,0.00
ALL Tooooo Gooooooo,0.00,1.00,0.00
ALLLL TOOOO GOOOOOO,0.00,1.00,0.00
ALLLLL TOOOO GOOOOOOO,0.00,1.00,0.00
ALLLLL TOOOOO GOOOOOOOO,0.00,1.00,0.00
ALLLLL. TOOOOOOO. GOOOOOOOOOOO,0.00,1.00,0.00
ALLLLLL TOOOOOOO GOOOOOOOOOO,0.00,1.00,0.00
ATL Cherry Pie Taste,0.00,1.00,0.00
ATL Crisp Apple Cider,,0.00,0.00
Abita Fluffernutter,7.00,1.00,7.00
Abita Strawb Taste,0.00,1.00,0.00
Absolout Ras,5.00,1.00,5.00
Absolu,6.00,1.00,6.00
Absolu Rasp,7.00,1.00,7.00
Absolut Ras W Soda Water,0.00,1.00,0.00
Absolut Raspberry On Rocks,8.00,1.00,8.00
Absolut Vanilla,8.00,1.00,8.00
Absolute Razz,8.00,1.00,8.00
Absolute Vanilla Vodka,12.00,1.00,12.00
Accidental Discount,15.00,1.00,15.00
Accorr,7.00,1.00,7.00
Ace High,5.00,1.00,5.00
Ace Of Spades,8.00,1.00,0.08
Add Bacon,1.00,1.00,1.00
Add Brisket,6.00,1.00,6.00
Add Chcken,4.00,1.00,4.00
Add Cheddar To Fish Sandwich,1.00,1.00,1.00
Add Chicken To Salad,7.00,1.00,0.00
Add Extra Blackened Shrimp,5.00,1.00,5.00
Add Grilled Chicken,5.00,1.00,5.00
Add Grilled Shrimp,4.00,1.00,4.00
Add Mushr,1.00,1.00,1.00
Add Onion,0.50,1.00,0.50
Add Pineapple On Pizza,0.00,1.00,0.00
Adele Peach,0.00,1.00,0.00
Adeles Choice,7.00,1.00,7.00
Adeles Cider,,0.00,0.00
Adictivo Tqueila,13.00,1.00,13.00
Adjust,,0.00,0.00
Adjusting,0.32,1.00,0.00
Adjusting Tab,8.00,1.00,0.00
Aioli,0.50,1.00,0.45
Akadamia IQ,7.00,1.00,7.00
Akademia Taste,0.00,1.00,0.00
Alchemist Bliss,8.00,1.00,8.00
Ale Engine,7.00,1.00,7.00
Ale Of An Engineer Draft,7.00,1.00,7.00
Ale Of Engineer,7.00,1.00,7.00
Alien Brain Hemmorhage,7.00,3.00,21.00
"All American, No Meat, Sub Pepperjack, French Fries",5.00,1.00,5.00
All Drums,2.00,1.00,2.00
All Flat,3.00,1.00,3.00
All Food Items Toooo Gooooooo,0.00,1.00,0.00
All Food Out Together Please,0.00,1.00,0.00
All TOGO,0.00,1.00,0.00
Allagash,4.00,1.00,4.00
Allagash Dark Horse,,0.00,0.00
Alligash,8.00,1.00,8.00
Allll Tooooo Goooooooo,0.00,1.00,0.00
Alllll Toooooo Goooooooo,0.00,1.00,0.00
Alllll Toooooo Gooooooooo !!!,0.00,1.00,0.00
Aloha Burguer,8.00,1.00,4.00
Amar Double,14.00,1.00,14.00
Amaretto,7.00,1.00,7.00
Amaro Nino; Uncle Neare Rye Double (Paper Plane),28.00,1.00,28.00
Amaro Nino; Uncle Nearest Double( Paper Plane),28.00,1.00,28.00
Ameretta Sour,8.00,1.00,8.00
Ameretto,7.00,1.00,7.00
Ameretto Sour,6.00,1.00,6.00
American Pub And Fries,10.00,1.00,10.00
Ammerata Sour,0.00,1.00,0.00
Ammerato Sour,7.00,1.00,7.00
Anderson Stout,3.00,1.00,3.00
Anderson Valley,8.00,1.00,8.00
Anderson Valley Sample,4.00,1.00,4.00
Angel's Envy,15.00,1.00,15.00
Angels Envy Bond,18.00,1.00,18.00
Angels Envy Triple,18.00,1.00,18.00
Angry Orchard Crisp Apple,7.00,1.00,7.00
Angus Beef Chili Sliders With A Side Caesar,11.00,1.00,9.00
Anna Bell Cab Sauv,8.00,1.00,8.00
Annebella,,0.00,0.00
Anteel Anejo On The Rocks,14.00,1.00,14.00
Aperitivo Pilsner,6.00,1.00,6.00
Apple Pie Cider Taste,0.00,1.00,0.00
Apple Pie HH,6.00,1.00,6.00
Apple Pie Moonshine,5.00,1.00,5.00
Apple Pie Shot,5.00,1.00,5.00
Apple Widow,7.00,1.00,7.00
Arches Ipa,6.00,1.00,6.00
Artisean,10.00,1.00,10.00
Asian BBQ Sandwhich Only,8.00,1.00,8.00
Asian Bbq Sauce On Side,1.00,1.00,1.00
Asian Bbq Sauce Side,0.75,1.00,0.75
Asian Chili Crisp Side Sauce,0.50,1.00,0.50
Asian Chili Sauce On Side,0.50,1.00,0.50
Asian Chili Sauce On Side Togo,1.00,1.00,1.00
Asian Chilli Sauce On Side,0.00,1.00,0.00
Asian Chilli Sauce On Side Togo,0.00,1.00,0.00
Asian Chillinswuce Togo,0.00,1.00,0.00
Asian Cjili,0.50,1.00,0.50
Asian Korean Bbq Sauce,,0.00,0.00
Asian Sauce On Side,0.00,1.00,0.00
Athletic Golden Ale,5.50,1.00,5.50
Athletic Rn Wild,5.00,1.00,5.00
Athletic Run Wild Can,5.50,1.00,5.50
Athletic Run Wild IPA,6.50,1.00,6.50
Athletic Run Wild IPA Can,6.50,1.00,6.50
Athletic Run Wild IPS,5.50,1.00,5.50
Athletic Run Wild Ipa W Cold Glass,5.50,1.00,5.50
Athletic run Wild W Glass,5.50,1.00,5.50
Atl Cherry Pie Cider,7.00,1.00,7.00
Atl Hard Cherry Pie Draf,7.00,1.00,7.00
Atl Tepache Taste,0.00,1.00,0.00
Atl United Glass,4.00,1.00,4.00
Atlanta Cider,10.00,1.00,10.00
Atlanta Crisp Cider,10.00,1.00,10.00
Atlanta Hrd Cider,7.00,1.00,7.00
Atlanta Tiki Haze,7.00,1.00,7.00
Av Oatmeal,3.00,1.00,3.00
Avbc,3.00,1.00,3.00
Aviation Double Dirty Martini,12.00,1.00,12.00
Avocado Burger Sub Impossible Patty,0.00,1.00,0.00
Avocado Toast X2,5.00,1.00,0.00
Ayinger Celebtator Doppelbock,11.00,1.00,5.50
Ayinger Drunkle,8.00,1.00,8.00
Ayinger Dunkl,8.00,1.00,8.00
Azul,6.00,1.00,6.00
B Rose,,0.00,0.00
B!ue Che To Go,0.00,1.00,0.00
B...A..N..A..N..A..S!,0.00,1.00,0.00
BACON SANDWICH,7.00,1.00,7.00
BBQ Burger 6 oz,0.00,1.00,0.00
BBQ CHICKEN BACON PIZZA,15.00,1.00,15.00
BBQ CHICKEN PIZZA,15.00,1.00,15.00
BBQ Chicken & Bacon Pizza (CAT),17.00,1.00,17.00
BBQ Chicken Bacon Pizza,10.00,1.00,5.00
BBQ MAC BITES,11.50,1.00,11.50
BBQ Pork Mac & Cheese Bites,12.00,1.00,12.00
BIG SIDE OF MAYO WITH BURGER,0.00,1.00,0.00
BIG SIDE PICKLES :),0.00,1.00,0.00
BLT NO TOMATO,5.00,1.00,2.50
BLT With Tater Tots,6.00,1.00,3.00
BONELESS WINGS,0.00,1.00,0.00
BOWL OF ICE CREAM,0.00,1.00,0.00
BSB,0.50,1.00,0.50
BT Mushroom & Swiss,10.00,1.00,5.00
BUFFALO RANCH CHICKEN SLIDERS,0.00,1.00,0.00
Baby Bkue Malt,28.00,1.00,28.00
Baby Order Of Fried Pickles :),6.00,1.00,0.00
Baby's First Drink,4.00,1.00,4.00
Bacon Biscuit,2.50,1.00,2.50
Bacon Bits For Salad,0.00,1.00,0.00
Bacon Egg And Cheese,6.00,1.00,6.00
Bacon Egg And Cheese On A Bun,0.00,1.00,0.00
Bacon Egg And Cheese Wrap,6.00,1.00,3.00
Bacon For Burger,0.00,1.00,0.00
Bahama Mama,9.00,1.00,9.00
Baileys,10.00,1.00,10.00
Baileys On The Rocks Single,8.00,1.00,8.00
Balancing,9.70,1.00,0.00
Balasmic Vinegarette,0.00,1.00,0.00
Balsamic,1.00,1.00,1.00
Balsamic Glaze,0.50,1.00,0.50
Balsamic Vin,0.50,1.00,0.50
Banana Moonshine,3.00,1.00,3.00
Banana Peppers,0.50,1.00,0.00
Bardstown 9 Series,30.00,1.00,30.00
Bardstown Series 9,30.00,1.00,30.00
Basement Draft,8.00,1.00,8.00
Basement Sample,3.00,1.00,3.00
Basil,62.00,1.00,62.00
Basil Hayden And Rocks,8.00,1.00,8.00
Basil Haydens Burbon,15.00,1.00,15.00
Basil Old Fash,11.00,1.00,11.00
Basket Fries,7.50,1.00,7.50
Basket Of Tots,5.00,1.00,5.00
BbQ Chicken Bacon Pizza,10.00,1.00,10.00
Bbq Pork Sliders W Side Fries,11.00,1.00,5.50
Bbq Sauce Sweet Baby Rays,0.50,1.00,0.50
Bbq Side,0.50,1.00,0.50
Bearded iris tunnel Vision,8.00,1.00,8.00
Bebe U Doing Great,0.00,1.00,0.00
Beef tacos,10.00,1.00,10.00
Beer Zombie Haze,8.00,1.00,8.00
Beer Zombies,8.00,1.00,8.00
Beer Zombies Come Out To Play,3.00,1.00,3.00
Bees Nees,14.00,1.00,14.00
Begian Quad,7.00,1.00,7.00
Belgian,15.00,1.00,15.00
Belgian Waffle,,0.00,0.00
Bell 2 Hearted,7.00,1.00,7.00
Bellini-Peach,7.00,1.00,0.00
Bells Trop Hopslam,7.00,1.00,7.00
Bells Tropical Do Not Make,7.00,1.00,7.00
Belvedere Double,21.00,1.00,21.00
Betty Booze,5.00,1.00,5.00
Betty Booze - Cherry,8.00,1.00,8.00
Betty Bourdon Peach Lemonade,8.00,1.00,8.00
Bhrama,4.00,1.00,4.00
Big Basket Of Tater Tots,0.00,1.00,0.00
Big Basket Of Tater Tots Tossed In Nashville Hot,0.00,1.00,0.00
Big Basket Of Tots,6.00,1.00,6.00
Big Ole Side Of Jalapenos With Trio,0.00,1.00,0.00
Big Pog Slammer,40.00,1.00,40.00
Big Pog Summer,40.00,1.00,40.00
Big Pow Slammer,41.00,1.00,41.00
Big Side Honey Mustard,0.00,1.00,0.00
Big Side Of Croutons,0.50,1.00,0.50
Big Side Of Crutons,0.00,1.00,0.00
Big Side Of Salsa,0.50,1.00,0.50
Big Side Of Slaw,0.00,1.00,0.00
Big Side Of Sweet Potato Fries,0.00,1.00,0.00
Big Side Of Thai Chili,0.00,1.00,0.00
Big Thing Of Pickles,2.00,1.00,1.00
Bigg Mac N Cheese But No Msc N Cheese Add Cheese Curds,0.00,1.00,0.00
Biggy Mac Burger,0.00,1.00,0.00
Biscuits And Gravy,4.50,1.00,0.00
Biscuits And Gravy No Orange Peel,0.00,1.00,0.00
Biscuits N Gravyyy,0.00,1.00,0.00
Black Bean Burger W/ Side Of Fries,10.00,1.00,10.00
Black Cherry White Claq,7.00,1.00,7.00
Black Widow Apple Cider,8.00,1.00,8.00
Black Widow Cuder,7.00,1.00,7.00
Black Widow Hard Cider,8.00,1.00,8.00
Blackbean Burger,7.00,1.00,7.00
Blackberry Farm GC,11.00,1.00,11.00
Blackberry GC,0.00,1.00,0.00
Blackberry Mojito As A Drink,7.00,1.00,7.00
Blackverry Widow,8.00,1.00,8.00
Blade And Bow Kentucky Bourbon,15.00,1.00,15.00
Blade And Bow Old Fashion,17.00,1.00,17.00
Blade And Bowl Neat,15.00,1.00,15.00
Blake Breakfast,9.00,1.00,4.50
Bleu Cheese (CAT),4.00,1.00,4.00
Blk Tan -- Guiness,8.00,1.00,0.00
Blk Tan --sullivans,8.00,1.00,8.00
Blood Of The Unicorn,7.00,1.00,3.50
Blt And Home Fries,10.00,1.00,5.00
Blue Bowl Of Chicken Dip,0.00,1.00,0.00
Blue C,0.50,1.00,0.50
Blue Ch,0.01,1.00,0.01
Blue Che,0.50,1.00,0.50
Blue Chee,0.50,1.00,0.50
Blue Chee To Go,1.00,1.00,1.00
Blue Moon Pint,5.00,1.00,5.00
Bluee Side,0.50,1.00,0.50
Bluemoon,6.00,1.00,6.00
Bluencheese,1.00,1.00,1.00
Bluep Moonn,7.00,1.00,7.00
Boba,1.00,1.00,1.00
Bold Mnk Okt,8.00,1.00,8.00
Bold Monk 10 Oz,5.00,1.00,5.00
Bold Monk Discipline Dubbel Taste,3.00,1.00,3.00
Bold Monk Dubel,8.00,1.00,8.00
Bold Monk Genesis Taste,0.00,1.00,0.00
Bold Monk Genisis,7.00,1.00,7.00
Bold Monk Gensis,7.00,1.00,7.00
Bold Monk The Way Draft,8.00,1.00,8.00
Bold Monk The Way Sample,3.00,1.00,3.00
Bold Monk The Way TASTE,0.00,1.00,0.00
Bold Monk Trpl,8.00,1.00,8.00
Bold Rock,6.00,1.00,6.00
BoldRock Sunset / Draft,7.00,1.00,7.00
Boldmonk Octoberfest TASTE,0.00,1.00,0.00
Boldmonk The Way,8.00,1.00,8.00
Boldmonk The Way TASTE,0.00,1.00,0.00
Boldonk The Way Taste,0.00,1.00,0.00
Bombay N Tonic Lunch Special,5.00,1.00,5.00
Bombay Sapphire 2x,8.50,1.00,8.50
Bombay Tonic Lunch,5.00,1.00,5.00
Boneless Wings,0.00,1.00,0.00
Boom Boom Side,0.50,1.00,0.00
Boozy Betty Peach Bourbon Can,8.00,1.00,8.00
Bottle Bacardi,17.00,1.00,17.00
Bottle Blade And Bow,50.00,1.00,50.00
Bottle Cavit,40.00,1.00,35.00
Bottle Grey Goose,30.00,1.00,30.00
Bottle Jack,34.00,1.00,34.00
Bottle No Make,15.00,1.00,15.00
Bowl Of Lettuce,0.00,1.00,0.00
Bowl Of Romain Lettuce,2.00,1.00,2.00
Bowo Of Brisket,8.00,1.00,8.00
Brahm Bottle,4.00,1.00,4.00
Brahma Brahma,4.00,1.00,4.00
Brahmin Brazil Beer,4.00,1.00,4.00
Brasserie Cherry Chouffe,,0.00,0.00
Brava Can,5.08,1.00,5.08
Bravazzi Hard Italian Soda Blood Orange can,5.00,1.00,5.00
Bread,1.00,1.00,1.00
Bread Crisps,4.00,1.00,0.00
Brewdog,3.00,1.00,1.81
Brewdog Cold Beer,3.00,1.00,3.00
Brisket Burrito,20.00,1.00,0.00
Brisket Grilled Cheese Onlu,10.00,1.00,10.00
Brown Sugar Burbon,0.50,1.00,0.50
Bucket Dos Equis,20.00,1.00,20.00
Bucket Of Cuncruiser,20.00,1.00,20.00
Bucket Of Ultra,15.00,1.00,15.00
Bucket Ultra,15.00,1.00,15.00
Buckh M U,15.00,1.00,15.00
Buff Chick Quesadilla,0.00,1.00,0.00
Buff Chicken Wrap,0.00,1.00,0.00
Buff Trace Upcharge,16.00,1.00,16.00
Buffalo,0.50,1.00,0.50
Buffalo Chicken Quesadilla,0.00,1.00,0.00
Buffalo Chicken Tendy Quesadilla,0.00,1.00,0.00
Buffalo Chicken Tendy Sammich,0.00,1.00,0.00
Buffalo Chicken Tendy Wrap,0.00,1.00,0.00
Buffalo Chicken Tots,10.00,1.00,0.00
Buffalo On Side,0.75,1.00,0.75
Buffalo Ranch Grilled Chicken Sub With Onions Lettuce Pickles,0.00,1.00,0.00
Buffalo Thai Chili Chicken Tendy Wrap,0.00,1.00,0.00
Bulleit Bour,10.00,1.00,10.00
Bulleit Double,15.00,1.00,15.00
Bumbu Cream,6.00,1.00,3.00
Bumbu Rum Abd Ginger Ale,7.00,1.00,7.00
Burger,0.00,1.00,0.00
Burial Prophet Macker,12.00,1.00,12.00
Busch Sour,9.00,1.00,9.00
Bushmil,10.00,1.00,10.00
Bushmill,12.00,1.00,12.00
Bushmill Irish Whiskey,10.00,1.00,10.00
Bushmills Irish Whiskey,10.00,1.00,10.00
Butter,0.00,1.00,0.00
Buttery Nip,4.00,1.00,4.00
Buttery Nipple,6.00,3.00,11.97
C Boy,7.00,1.00,7.00
CBB ORANGECICLE Sample,3.00,1.00,3.00
CC ATHENA,7.00,1.00,7.00
CC Neon Cylinder,8.00,1.00,8.00
CC Neon Sour,8.00,1.00,8.00
CC Sun Glow,,0.00,0.00
CC silent World,7.00,1.00,7.00
CC sunglow Trop,8.00,1.00,8.00
CCB Tsundoku,0.00,1.00,0.00
CCP DRAFT,7.00,1.00,7.00
CHICKEN PARM SUB W ONIONS RANCH,0.00,1.00,0.00
CHURRO FRIES,5.00,1.00,5.00
COLESLAW 2 CUPE,0.00,1.00,0.00
CRISPY CHICKEN SANDWICH TOSSED IN RAJIN CAJUN,0.00,1.00,0.00
CUT THE BURGER IN HALF PLS,0.00,1.00,0.00
Cachaca Mojito,10.00,1.00,0.00
Caesar With Buffalo Chicken Tendies No Parm,0.00,1.00,0.00
Caesar With Chicken,0.00,1.00,0.00
Cajun Fries,0.00,1.00,0.00
Cajun Fries Side Queso,0.00,1.00,0.00
Cajun Seasoning,0.00,1.00,0.00
Can Big Night On Ponce,5.00,4.00,10.00
Can Sierra,5.00,1.00,5.00
Can Southern Brewing Pomegranate Fruit Flash,6.00,1.00,6.00
Can Stout,4.00,1.00,4.00
Canberry Juice No Ice,4.00,1.00,4.00
Canyon Rd,6.00,1.00,6.00
Caprese Salad W/Shrimp,12.50,1.00,0.00
Caprese Sandwich W Exrra Mozz,0.00,1.00,0.00
Carnivor Pizza,12.00,1.00,12.00
Carnivore Pizza (CAT),17.00,3.00,51.00
Casa Anejo,13.00,1.00,13.00
Casa Half Shot,5.00,1.00,4.50
Casa Noble Blanco,7.00,1.00,3.50
Casa Noble Gold,12.00,1.00,12.00
Casa Noble Rep,14.00,1.00,14.00
Casa Noble Repo Single,8.00,1.00,8.00
Casa Noble Reposado Tequila Single,8.00,1.00,8.00
Casa Nobles Dontvmake,10.00,1.00,10.00
Casa Nobles Repo,0.00,1.00,0.00
Casa Nobles Silver Marg Double,18.00,1.00,18.00
Casamigos Añejo,25.00,1.00,25.00
Casamigos Bottle,50.00,1.00,50.00
Casamigos Teramana Shpt,,0.00,0.00
Catered Food,275.00,1.00,275.00
Cavit BOTTLE,33.00,1.00,33.00
Cavit Bottle,30.00,1.00,30.00
Cavit Pinot Grigio Bottle,25.00,1.00,12.50
Caña Bottle,28.00,1.00,28.00
Cc Neon Cylinder,8.00,1.00,8.00
Cc Paradiso,5.00,1.00,5.00
Ce Dre,0.00,1.00,0.00
Celery,0.50,1.00,0.50
Celery And Blu Cheese,0.00,1.00,0.00
Celery And Blue Cheese To Go,1.00,1.00,1.00
Celery And Ranch,3.00,1.00,3.00
Centenario,10.00,1.00,10.00
Cervejaria Brahma,4.00,1.00,4.00
Cesar Dres,0.50,1.00,0.50
Cesar Dressing Lg,0.50,1.00,0.50
Cesar Salad,0.00,1.00,0.00
Ch Cherry,3.00,1.00,3.00
Chai Me A River,6.00,1.00,0.00
Chai Me A River Pint,6.00,1.00,6.00
Charge Dont Make Anything,24.00,1.00,24.00
Charge Your Phone,,0.00,0.00
Check Adjustment,0.59,1.00,0.48
Cheddar Grilled Chz And Fries,7.50,1.00,7.50
Cheesburger Sliders With Side Caesar No Parm,0.00,1.00,0.00
Cheese,0.50,1.00,0.50
